taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo
faults	 3	 4	 2	 122.82	 107.29	 11.26	
statlog	 3	 4	 1	 326.65	 319.18	 16.14	
statlog	 3	 4	 2	 333.27	 323.56	 14.30	
waveform	 3	 4	 1	 541.95	 519.73	 26.60	
waveform	 3	 4	 2	 495.73	 475.33	 28.75	
wine	 3	 4	 1	 179.37	 163.51	 12.46	
wine	 3	 4	 2	 202.75	 193.66	 16.52	
Anastomosis	 3	 7	 1	 6.34	 0.77	 0.89	
Anastomosis	 3	 7	 2	 13.94	 0.95	 1.04	
Australian	 3	 7	 1	 106.44	 99.62	 8.57	
Australian	 3	 7	 2	 105.51	 100.71	 8.83	
Congressional_Voting	 3	 7	 1	 105.42	 106.33	 5.68	
Congressional_Voting	 3	 7	 2	 108.28	 109.12	 6.85	
Echo_cardiogram	 3	 7	 1	 18.24	 15.60	 3.53	
Echo_cardiogram	 3	 7	 2	 19.74	 16.60	 3.93	
German	 3	 7	 1	 38.99	 26.96	 5.20	
German	 3	 7	 2	 39.29	 28.15	 5.22	
Heart_Disease	 3	 7	 1	 31.89	 24.60	 5.86	
Heart_Disease	 3	 7	 2	 34.01	 21.97	 4.25	
Hepatitis	 3	 7	 1	 14.77	 4.18	 2.00	
Hepatitis	 3	 7	 2	 14.17	 6.53	 2.17	
Ionosphere	 3	 7	 1	 63.46	 55.09	 8.57	
Ionosphere	 3	 7	 2	 40.58	 38.08	 7.06	
Labor_Relations	 3	 7	 1	 10.38	 5.27	 2.16	
Labor_Relations	 3	 7	 2	 7.35	 3.50	 1.31	
Liver_Disorders	 3	 7	 1	 17.46	 6.42	 2.90	
Liver_Disorders	 3	 7	 2	 12.70	 3.15	 1.61	
Molecular_Biology	 3	 7	 1	 8.50	 4.55	 2.08	
Molecular_Biology	 3	 7	 2	 15.45	 9.96	 2.83	
Mushrooms	 3	 7	 1	 1489.61	 1493.65	 30.04	
Mushrooms	 3	 7	 2	 1290.32	 1279.59	 214.80	
Sonar	 3	 7	 1	 24.83	 10.74	 3.66	
Sonar	 3	 7	 2	 22.07	 8.52	 3.54	
Thyroid_Disease	 3	 7	 1	 105.67	 100.09	 13.16	
Thyroid_Disease	 3	 7	 2	 189.08	 175.34	 19.12	
Wdbc	 3	 7	 1	 131.17	 116.75	 11.18	
Wdbc	 3	 7	 2	 108.26	 91.72	 12.30	
Wisconsin_Breast_Cancer	 3	 7	 1	 171.79	 147.27	 9.09	
Wisconsin_Breast_Cancer	 3	 7	 2	 161.72	 147.56	 10.53	
Wpbc	 3	 7	 1	 10.07	 1.41	 1.07	
Wpbc	 3	 7	 2	 13.38	 1.27	 1.10	
faults	 3	 7	 1	 164.24	 149.35	 18.90	
faults	 3	 7	 2	 124.72	 106.09	 11.16	
statlog	 3	 7	 1	 324.38	 320.55	 15.85	
statlog	 3	 7	 2	 331.64	 324.12	 14.10	
waveform	 3	 7	 1	 547.24	 525.64	 28.21	
waveform	 3	 7	 2	 498.59	 479.70	 28.02	
wine	 3	 7	 1	 178.79	 164.81	 12.91	
wine	 3	 7	 2	 202.83	 193.94	 16.22	
Anastomosis	 3	 10	 1	 6.61	 0.72	 0.84	
Anastomosis	 3	 10	 2	 13.97	 1.07	 0.96	
Australian	 3	 10	 1	 105.55	 100.16	 8.58	
Australian	 3	 10	 2	 104.62	 101.82	 8.65	
Congressional_Voting	 3	 10	 1	 105.59	 106.17	 6.05	
Congressional_Voting	 3	 10	 2	 108.46	 109.29	 6.36	
Echo_cardiogram	 3	 10	 1	 18.19	 16.22	 3.35	
Echo_cardiogram	 3	 10	 2	 19.85	 16.85	 4.01	
German	 3	 10	 1	 39.69	 26.41	 5.64	
German	 3	 10	 2	 39.00	 27.89	 5.84	
Heart_Disease	 3	 10	 1	 31.22	 26.03	 5.91	
Heart_Disease	 3	 10	 2	 33.54	 22.55	 4.19	
Hepatitis	 3	 10	 1	 15.01	 4.53	 1.96	
Hepatitis	 3	 10	 2	 14.37	 6.50	 2.16	
Ionosphere	 3	 10	 1	 64.20	 54.44	 8.71	
Ionosphere	 3	 10	 2	 41.07	 36.08	 8.02	
Labor_Relations	 3	 10	 1	 10.25	 5.16	 2.24	
Labor_Relations	 3	 10	 2	 7.37	 3.64	 1.46	
Liver_Disorders	 3	 10	 1	 17.14	 6.65	 2.83	
Liver_Disorders	 3	 10	 2	 12.91	 3.21	 1.57	
Molecular_Biology	 3	 10	 1	 8.53	 4.43	 2.28	
Molecular_Biology	 3	 10	 2	 15.36	 10.43	 2.83	
Mushrooms	 3	 10	 1	 1490.45	 1492.71	 27.99	
Mushrooms	 3	 10	 2	 1473.10	 1477.00	 27.88	
Sonar	 3	 10	 1	 25.06	 10.84	 4.14	
Sonar	 3	 10	 2	 22.47	 8.59	 3.46	
Thyroid_Disease	 3	 10	 1	 104.92	 98.93	 12.40	
Thyroid_Disease	 3	 10	 2	 190.97	 177.43	 19.95	
Wdbc	 3	 10	 1	 130.92	 116.06	 10.34	
Wdbc	 3	 10	 2	 108.69	 91.45	 11.54	
Wisconsin_Breast_Cancer	 3	 10	 1	 172.75	 147.91	 9.35	
Wisconsin_Breast_Cancer	 3	 10	 2	 161.14	 148.57	 10.81	
Wpbc	 3	 10	 1	 10.33	 1.53	 1.11	
Wpbc	 3	 10	 2	 13.60	 1.24	 1.07	
faults	 3	 10	 1	 166.45	 153.91	 18.67	
faults	 3	 10	 2	 125.41	 106.14	 10.55	
statlog	 3	 10	 1	 327.60	 318.79	 14.71	
statlog	 3	 10	 2	 335.11	 322.93	 13.20	
waveform	 3	 10	 1	 549.98	 533.75	 27.14	
waveform	 3	 10	 2	 505.22	 481.92	 30.14	
wine	 3	 10	 1	 180.32	 163.88	 12.35	
wine	 3	 10	 2	 205.02	 192.81	 16.45	
Anastomosis	 3	 15	 1	 6.65	 0.75	 0.92	
Anastomosis	 3	 15	 2	 14.02	 0.98	 1.00	
Australian	 3	 15	 1	 106.27	 100.02	 7.83	
Australian	 3	 15	 2	 105.27	 100.94	 9.29	
Congressional_Voting	 3	 15	 1	 105.44	 106.19	 6.12	
Congressional_Voting	 3	 15	 2	 108.43	 109.60	 6.52	
Echo_cardiogram	 3	 15	 1	 18.21	 15.75	 3.56	
Echo_cardiogram	 3	 15	 2	 19.86	 16.78	 3.78	
German	 3	 15	 1	 39.55	 26.81	 5.61	
German	 3	 15	 2	 39.04	 27.87	 5.45	
Heart_Disease	 3	 15	 1	 31.57	 25.43	 5.68	
Heart_Disease	 3	 15	 2	 34.28	 21.69	 4.36	
Hepatitis	 3	 15	 1	 14.86	 4.44	 1.98	
Hepatitis	 3	 15	 2	 14.29	 6.43	 2.09	
Ionosphere	 3	 15	 1	 63.91	 55.10	 8.54	
Ionosphere	 3	 15	 2	 40.72	 37.02	 7.52	
Labor_Relations	 3	 15	 1	 10.18	 5.64	 2.28	
Labor_Relations	 3	 15	 2	 7.44	 3.52	 1.40	
Liver_Disorders	 3	 15	 1	 17.31	 6.56	 2.89	
Liver_Disorders	 3	 15	 2	 12.85	 3.23	 1.63	
Molecular_Biology	 3	 15	 1	 8.65	 4.35	 2.23	
Molecular_Biology	 3	 15	 2	 15.65	 10.02	 2.85	
Mushrooms	 3	 15	 1	 1492.30	 1490.99	 29.77	
Mushrooms	 3	 15	 2	 1475.85	 1474.32	 28.39	
Sonar	 3	 15	 1	 25.11	 11.03	 4.11	
Sonar	 3	 15	 2	 22.39	 8.47	 3.37	
Thyroid_Disease	 3	 15	 1	 105.20	 99.60	 12.66	
Thyroid_Disease	 3	 15	 2	 189.80	 177.15	 19.89	
Wdbc	 3	 15	 1	 130.70	 116.66	 11.19	
Wdbc	 3	 15	 2	 107.50	 91.25	 12.55	
Wisconsin_Breast_Cancer	 3	 15	 1	 174.60	 149.84	 9.80	
Wisconsin_Breast_Cancer	 3	 15	 2	 162.30	 146.97	 9.91	
Wpbc	 3	 15	 1	 10.44	 1.54	 1.09	
Wpbc	 3	 15	 2	 13.86	 1.19	 1.10	
faults	 3	 15	 1	 169.37	 155.80	 18.77	
faults	 3	 15	 2	 126.18	 105.10	 11.08	
statlog	 3	 15	 1	 325.33	 319.71	 16.24	
statlog	 3	 15	 2	 332.37	 323.14	 14.31	
waveform	 3	 15	 1	 550.05	 534.73	 28.27	
waveform	 3	 15	 2	 505.76	 483.29	 28.54	
wine	 3	 15	 1	 180.41	 163.44	 13.97	
wine	 3	 15	 2	 205.68	 194.81	 15.34	
Anastomosis	 3	 25	 1	 6.73	 0.82	 0.93	
Anastomosis	 3	 25	 2	 13.99	 1.01	 1.06	
Australian	 3	 25	 1	 106.43	 99.64	 8.33	
Australian	 3	 25	 2	 105.58	 100.91	 8.33	
Congressional_Voting	 3	 25	 1	 105.73	 106.11	 6.48	
Congressional_Voting	 3	 25	 2	 108.83	 109.00	 7.16	
Echo_cardiogram	 3	 25	 1	 18.28	 15.87	 3.57	
Echo_cardiogram	 3	 25	 2	 19.76	 16.83	 3.99	
German	 3	 25	 1	 39.86	 26.59	 5.51	
German	 3	 25	 2	 39.16	 27.86	 4.95	
Heart_Disease	 3	 25	 1	 31.28	 25.30	 6.01	
Heart_Disease	 3	 25	 2	 33.94	 22.00	 4.02	
Hepatitis	 3	 25	 1	 14.92	 4.25	 1.91	
Hepatitis	 3	 25	 2	 14.47	 6.19	 2.06	
Ionosphere	 3	 25	 1	 64.33	 55.69	 9.23	
Ionosphere	 3	 25	 2	 40.83	 36.37	 8.16	
Labor_Relations	 3	 25	 1	 10.37	 5.57	 2.23	
Labor_Relations	 3	 25	 2	 7.33	 3.62	 1.38	
Liver_Disorders	 3	 25	 1	 17.25	 6.87	 3.01	
Liver_Disorders	 3	 25	 2	 13.03	 3.27	 1.49	
Molecular_Biology	 3	 25	 1	 8.63	 4.59	 2.18	
Molecular_Biology	 3	 25	 2	 15.54	 10.20	 2.84	
Mushrooms	 3	 25	 1	 1492.30	 1490.90	 27.51	
Mushrooms	 3	 25	 2	 1473.52	 1476.47	 25.47	
Sonar	 3	 25	 1	 25.24	 10.47	 3.85	
Sonar	 3	 25	 2	 22.54	 8.59	 3.49	
Thyroid_Disease	 3	 25	 1	 105.35	 100.34	 13.34	
Thyroid_Disease	 3	 25	 2	 188.88	 177.06	 20.62	
Wdbc	 3	 25	 1	 131.48	 118.77	 10.37	
Wdbc	 3	 25	 2	 107.64	 91.60	 12.54	
Wisconsin_Breast_Cancer	 3	 25	 1	 174.81	 150.10	 11.47	
Wisconsin_Breast_Cancer	 3	 25	 2	 162.73	 147.61	 10.78	
Wpbc	 3	 25	 1	 10.62	 1.55	 1.15	
Wpbc	 3	 25	 2	 13.95	 1.18	 1.09	
faults	 3	 25	 1	 169.87	 158.25	 18.38	
faults	 3	 25	 2	 126.54	 105.39	 10.23	
statlog	 3	 25	 1	 326.72	 319.45	 17.00	
statlog	 3	 25	 2	 334.74	 323.10	 15.96	
waveform	 3	 25	 1	 555.26	 533.89	 25.65	
waveform	 3	 25	 2	 507.92	 486.44	 28.00	
wine	 3	 25	 1	 180.60	 163.69	 12.29	
wine	 3	 25	 2	 205.55	 193.81	 14.85	
Anastomosis	 4	 1	 1	 5.57	 0.82	 0.88	
Anastomosis	 4	 1	 2	 12.75	 1.08	 1.15	
Australian	 4	 1	 1	 105.53	 100.55	 8.20	
Australian	 4	 1	 2	 104.46	 101.97	 8.84	
Congressional_Voting	 4	 1	 1	 105.85	 105.87	 5.65	
Congressional_Voting	 4	 1	 2	 108.70	 109.15	 6.32	
Echo_cardiogram	 4	 1	 1	 18.16	 15.99	 3.24	
Echo_cardiogram	 4	 1	 2	 19.31	 16.20	 3.81	
German	 4	 1	 1	 39.89	 26.30	 6.24	
German	 4	 1	 2	 39.20	 27.93	 4.97	
Heart_Disease	 4	 1	 1	 30.97	 23.44	 5.56	
Heart_Disease	 4	 1	 2	 33.91	 22.09	 4.08	
Hepatitis	 4	 1	 1	 13.79	 4.39	 2.13	
Hepatitis	 4	 1	 2	 12.68	 6.52	 2.27	
Ionosphere	 4	 1	 1	 60.53	 49.39	 12.37	
Ionosphere	 4	 1	 2	 40.93	 37.51	 6.88	
Labor_Relations	 4	 1	 1	 8.58	 3.90	 1.53	
Labor_Relations	 4	 1	 2	 7.01	 3.52	 1.49	
Liver_Disorders	 4	 1	 1	 16.19	 5.58	 2.96	
Liver_Disorders	 4	 1	 2	 11.37	 4.48	 2.05	
Molecular_Biology	 4	 1	 1	 8.63	 4.86	 1.99	
Molecular_Biology	 4	 1	 2	 15.33	 10.09	 3.11	
Mushrooms	 4	 1	 1	 1487.60	 1495.54	 26.66	
Mushrooms	 4	 1	 2	 1007.60	 1003.35	 18.55	
Sonar	 4	 1	 1	 23.28	 10.40	 4.21	
Sonar	 4	 1	 2	 21.82	 7.95	 3.38	
Thyroid_Disease	 4	 1	 1	 105.27	 101.00	 13.24	
Thyroid_Disease	 4	 1	 2	 188.85	 176.53	 20.12	
Wdbc	 4	 1	 1	 126.78	 111.01	 9.76	
Wdbc	 4	 1	 2	 104.42	 91.20	 12.47	
Wisconsin_Breast_Cancer	 4	 1	 1	 162.78	 143.71	 9.43	
Wisconsin_Breast_Cancer	 4	 1	 2	 154.98	 138.62	 13.05	
Wpbc	 4	 1	 1	 9.00	 1.35	 1.15	
Wpbc	 4	 1	 2	 12.79	 1.12	 1.08	
faults	 4	 1	 1	 147.20	 133.20	 18.73	
faults	 4	 1	 2	 122.71	 109.50	 10.92	
statlog	 4	 1	 1	 325.50	 323.25	 16.12	
statlog	 4	 1	 2	 331.45	 324.87	 13.81	
waveform	 4	 1	 1	 522.11	 501.44	 30.08	
waveform	 4	 1	 2	 474.17	 457.68	 29.19	
wine	 4	 1	 1	 178.17	 163.06	 13.86	
wine	 4	 1	 2	 202.07	 188.46	 17.41	
Anastomosis	 4	 2	 1	 5.91	 0.74	 0.89	
Anastomosis	 4	 2	 2	 14.23	 1.06	 1.08	
Australian	 4	 2	 1	 106.33	 100.18	 8.24	
Australian	 4	 2	 2	 105.66	 100.62	 9.13	
Congressional_Voting	 4	 2	 1	 105.16	 106.54	 5.67	
Congressional_Voting	 4	 2	 2	 108.41	 109.41	 6.59	
Echo_cardiogram	 4	 2	 1	 18.36	 15.42	 3.59	
Echo_cardiogram	 4	 2	 2	 19.64	 16.36	 4.23	
German	 4	 2	 1	 40.20	 27.52	 6.05	
German	 4	 2	 2	 39.28	 28.03	 5.03	
Heart_Disease	 4	 2	 1	 31.08	 24.39	 5.61	
Heart_Disease	 4	 2	 2	 33.97	 21.64	 4.47	
Hepatitis	 4	 2	 1	 15.12	 4.63	 2.18	
Hepatitis	 4	 2	 2	 13.58	 6.53	 2.06	
Ionosphere	 4	 2	 1	 64.74	 54.48	 10.64	
Ionosphere	 4	 2	 2	 40.56	 37.61	 6.58	
Labor_Relations	 4	 2	 1	 9.38	 4.24	 1.79	
Labor_Relations	 4	 2	 2	 7.34	 3.51	 1.40	
Liver_Disorders	 4	 2	 1	 17.54	 5.90	 2.71	
Liver_Disorders	 4	 2	 2	 11.95	 3.59	 1.92	
Molecular_Biology	 4	 2	 1	 8.57	 4.51	 2.14	
Molecular_Biology	 4	 2	 2	 15.56	 10.04	 2.67	
Mushrooms	 4	 2	 1	 1493.91	 1489.35	 28.37	
Mushrooms	 4	 2	 2	 1046.34	 1040.14	 22.45	
Sonar	 4	 2	 1	 24.78	 10.96	 4.06	
Sonar	 4	 2	 2	 22.67	 8.48	 3.39	
Thyroid_Disease	 4	 2	 1	 105.17	 100.50	 13.89	
Thyroid_Disease	 4	 2	 2	 191.40	 177.58	 20.08	
Wdbc	 4	 2	 1	 128.96	 112.13	 10.62	
Wdbc	 4	 2	 2	 107.28	 90.79	 11.87	
Wisconsin_Breast_Cancer	 4	 2	 1	 168.41	 147.90	 9.79	
Wisconsin_Breast_Cancer	 4	 2	 2	 158.42	 143.01	 11.46	
Wpbc	 4	 2	 1	 9.73	 1.52	 1.05	
Wpbc	 4	 2	 2	 13.77	 1.21	 1.08	
faults	 4	 2	 1	 156.86	 141.63	 15.96	
faults	 4	 2	 2	 123.54	 107.55	 9.75	
statlog	 4	 2	 1	 326.78	 319.63	 17.16	
statlog	 4	 2	 2	 333.97	 323.27	 14.17	
waveform	 4	 2	 1	 539.77	 519.09	 27.27	
waveform	 4	 2	 2	 489.80	 470.63	 26.26	
wine	 4	 2	 1	 179.44	 162.92	 13.81	
wine	 4	 2	 2	 203.01	 190.27	 16.72	
Anastomosis	 4	 4	 1	 6.25	 0.79	 0.88	
Anastomosis	 4	 4	 2	 15.01	 0.88	 0.97	
Australian	 4	 4	 1	 105.30	 100.76	 8.22	
Australian	 4	 4	 2	 104.76	 101.31	 8.92	
Congressional_Voting	 4	 4	 1	 105.80	 105.92	 5.62	
Congressional_Voting	 4	 4	 2	 108.78	 109.02	 6.06	
Echo_cardiogram	 4	 4	 1	 18.35	 15.84	 3.52	
Echo_cardiogram	 4	 4	 2	 19.83	 16.40	 4.17	
German	 4	 4	 1	 41.32	 26.97	 5.81	
German	 4	 4	 2	 40.29	 27.32	 4.58	
Heart_Disease	 4	 4	 1	 31.35	 24.84	 6.20	
Heart_Disease	 4	 4	 2	 34.08	 21.89	 4.54	
Hepatitis	 4	 4	 1	 15.64	 4.36	 2.01	
Hepatitis	 4	 4	 2	 14.20	 6.23	 2.25	
Ionosphere	 4	 4	 1	 67.00	 56.60	 9.23	
Ionosphere	 4	 4	 2	 41.03	 37.88	 6.95	
Labor_Relations	 4	 4	 1	 10.03	 4.75	 2.03	
Labor_Relations	 4	 4	 2	 7.38	 3.36	 1.35	
Liver_Disorders	 4	 4	 1	 18.16	 6.08	 2.66	
Liver_Disorders	 4	 4	 2	 12.55	 3.47	 1.76	
Molecular_Biology	 4	 4	 1	 8.62	 4.61	 2.17	
Molecular_Biology	 4	 4	 2	 15.53	 10.28	 2.76	
Mushrooms	 4	 4	 1	 1493.61	 1489.58	 28.24	
Mushrooms	 4	 4	 2	 1047.02	 1044.24	 24.16	
Sonar	 4	 4	 1	 25.81	 11.06	 4.24	
Sonar	 4	 4	 2	 23.79	 8.03	 3.47	
Thyroid_Disease	 4	 4	 1	 105.75	 101.51	 13.51	
Thyroid_Disease	 4	 4	 2	 191.37	 176.86	 20.67	
Wdbc	 4	 4	 1	 130.66	 114.59	 10.15	
Wdbc	 4	 4	 2	 107.76	 91.01	 12.50	
Wisconsin_Breast_Cancer	 4	 4	 1	 173.50	 151.57	 9.71	
Wisconsin_Breast_Cancer	 4	 4	 2	 161.61	 146.98	 10.75	
Wpbc	 4	 4	 1	 10.38	 1.53	 1.13	
Wpbc	 4	 4	 2	 14.22	 1.24	 1.06	
faults	 4	 4	 1	 166.65	 148.77	 18.39	
faults	 4	 4	 2	 125.83	 106.12	 10.52	
statlog	 4	 4	 1	 327.87	 318.57	 16.46	
statlog	 4	 4	 2	 335.23	 323.08	 14.52	
waveform	 4	 4	 1	 553.67	 529.65	 29.20	
waveform	 4	 4	 2	 502.16	 478.93	 25.82	
wine	 4	 4	 1	 180.88	 163.76	 12.63	
wine	 4	 4	 2	 201.96	 192.74	 15.27	
Anastomosis	 4	 7	 1	 6.66	 0.78	 0.82	
Anastomosis	 4	 7	 2	 15.34	 1.08	 1.03	
Australian	 4	 7	 1	 106.61	 99.78	 8.21	
Australian	 4	 7	 2	 105.74	 100.80	 8.71	
Congressional_Voting	 4	 7	 1	 105.67	 106.11	 6.02	
Congressional_Voting	 4	 7	 2	 108.86	 108.80	 6.92	
Echo_cardiogram	 4	 7	 1	 18.46	 15.58	 3.67	
Echo_cardiogram	 4	 7	 2	 20.12	 16.54	 3.83	
German	 4	 7	 1	 40.55	 27.08	 7.03	
German	 4	 7	 2	 39.84	 27.49	 5.06	
Heart_Disease	 4	 7	 1	 31.83	 24.72	 5.97	
Heart_Disease	 4	 7	 2	 34.34	 21.31	 4.37	
Hepatitis	 4	 7	 1	 15.76	 4.31	 2.09	
Hepatitis	 4	 7	 2	 14.49	 6.35	 2.06	
Ionosphere	 4	 7	 1	 68.48	 56.77	 8.89	
Ionosphere	 4	 7	 2	 40.72	 38.18	 6.99	
Labor_Relations	 4	 7	 1	 10.30	 5.30	 2.26	
Labor_Relations	 4	 7	 2	 7.46	 3.52	 1.38	
Liver_Disorders	 4	 7	 1	 17.97	 6.71	 2.85	
Liver_Disorders	 4	 7	 2	 13.41	 3.23	 1.56	
Molecular_Biology	 4	 7	 1	 8.59	 4.75	 1.98	
Molecular_Biology	 4	 7	 2	 15.49	 10.27	 2.66	
Mushrooms	 4	 7	 1	 1490.54	 1492.62	 25.86	
Mushrooms	 4	 7	 2	 1278.81	 1266.71	 214.15	
Sonar	 4	 7	 1	 26.51	 11.18	 4.12	
Sonar	 4	 7	 2	 23.96	 8.76	 3.44	
Thyroid_Disease	 4	 7	 1	 105.80	 100.18	 13.66	
Thyroid_Disease	 4	 7	 2	 190.70	 175.51	 18.81	
Wdbc	 4	 7	 1	 131.20	 114.93	 10.59	
Wdbc	 4	 7	 2	 107.74	 90.68	 12.61	
Wisconsin_Breast_Cancer	 4	 7	 1	 175.71	 151.88	 9.77	
Wisconsin_Breast_Cancer	 4	 7	 2	 163.22	 147.27	 9.93	
Wpbc	 4	 7	 1	 10.90	 1.49	 1.11	
Wpbc	 4	 7	 2	 15.02	 1.34	 1.23	
faults	 4	 7	 1	 171.87	 154.55	 20.15	
faults	 4	 7	 2	 127.96	 105.17	 11.42	
statlog	 4	 7	 1	 326.09	 319.67	 16.89	
statlog	 4	 7	 2	 334.00	 323.90	 14.07	
waveform	 4	 7	 1	 558.35	 538.08	 28.40	
waveform	 4	 7	 2	 511.49	 488.69	 27.31	
wine	 4	 7	 1	 180.29	 164.56	 12.99	
wine	 4	 7	 2	 203.42	 191.73	 16.68	
Anastomosis	 4	 10	 1	 6.79	 0.79	 0.93	
Anastomosis	 4	 10	 2	 15.33	 1.02	 1.02	
Australian	 4	 10	 1	 105.99	 100.68	 8.21	
Australian	 4	 10	 2	 104.88	 101.60	 7.88	
Congressional_Voting	 4	 10	 1	 105.94	 105.78	 5.45	
Congressional_Voting	 4	 10	 2	 109.49	 108.16	 6.46	
Echo_cardiogram	 4	 10	 1	 18.39	 15.57	 3.74	
Echo_cardiogram	 4	 10	 2	 20.02	 16.16	 4.32	
German	 4	 10	 1	 40.96	 26.83	 6.22	
German	 4	 10	 2	 39.87	 27.05	 5.09	
Heart_Disease	 4	 10	 1	 31.73	 25.16	 5.70	
Heart_Disease	 4	 10	 2	 34.41	 21.18	 4.46	
Hepatitis	 4	 10	 1	 15.67	 4.69	 2.17	
Hepatitis	 4	 10	 2	 14.56	 6.57	 1.98	
Ionosphere	 4	 10	 1	 68.21	 57.90	 8.74	
Ionosphere	 4	 10	 2	 40.80	 37.62	 6.74	
Labor_Relations	 4	 10	 1	 10.23	 5.65	 2.22	
Labor_Relations	 4	 10	 2	 7.34	 3.47	 1.38	
Liver_Disorders	 4	 10	 1	 18.29	 6.64	 2.64	
Liver_Disorders	 4	 10	 2	 13.10	 3.21	 1.59	
Molecular_Biology	 4	 10	 1	 8.61	 4.57	 2.26	
Molecular_Biology	 4	 10	 2	 15.80	 9.97	 2.60	
Mushrooms	 4	 10	 1	 1490.70	 1492.51	 27.89	
Mushrooms	 4	 10	 2	 1474.07	 1473.63	 28.73	
Sonar	 4	 10	 1	 26.55	 10.27	 3.69	
Sonar	 4	 10	 2	 24.42	 8.32	 3.17	
Thyroid_Disease	 4	 10	 1	 105.17	 101.20	 14.10	
Thyroid_Disease	 4	 10	 2	 191.65	 177.30	 19.16	
Wdbc	 4	 10	 1	 132.33	 116.88	 10.63	
Wdbc	 4	 10	 2	 108.47	 89.86	 13.38	
Wisconsin_Breast_Cancer	 4	 10	 1	 176.93	 152.55	 10.94	
Wisconsin_Breast_Cancer	 4	 10	 2	 162.30	 147.90	 10.43	
Wpbc	 4	 10	 1	 11.04	 1.46	 1.13	
Wpbc	 4	 10	 2	 15.37	 1.44	 1.18	
faults	 4	 10	 1	 174.58	 157.76	 17.49	
faults	 4	 10	 2	 127.96	 105.82	 9.52	
statlog	 4	 10	 1	 328.67	 318.21	 16.62	
statlog	 4	 10	 2	 336.56	 321.79	 13.17	
waveform	 4	 10	 1	 563.21	 544.18	 27.25	
waveform	 4	 10	 2	 510.81	 487.83	 27.12	
wine	 4	 10	 1	 182.83	 163.33	 13.20	
wine	 4	 10	 2	 204.44	 192.03	 15.94	
Anastomosis	 4	 15	 1	 6.86	 0.79	 1.02	
Anastomosis	 4	 15	 2	 15.63	 1.07	 1.12	
Australian	 4	 15	 1	 106.13	 99.83	 8.04	
Australian	 4	 15	 2	 105.13	 101.38	 8.64	
Congressional_Voting	 4	 15	 1	 105.52	 106.24	 5.84	
Congressional_Voting	 4	 15	 2	 108.99	 108.64	 6.62	
Echo_cardiogram	 4	 15	 1	 18.47	 15.85	 3.12	
Echo_cardiogram	 4	 15	 2	 19.80	 16.69	 3.94	
German	 4	 15	 1	 40.34	 26.76	 6.53	
German	 4	 15	 2	 39.62	 27.61	 4.92	
Heart_Disease	 4	 15	 1	 31.97	 24.48	 5.69	
Heart_Disease	 4	 15	 2	 34.51	 21.27	 4.28	
Hepatitis	 4	 15	 1	 15.79	 4.42	 2.13	
Hepatitis	 4	 15	 2	 14.46	 6.54	 2.18	
Ionosphere	 4	 15	 1	 68.27	 58.07	 9.13	
Ionosphere	 4	 15	 2	 40.65	 37.12	 8.18	
Labor_Relations	 4	 15	 1	 10.26	 5.37	 2.29	
Labor_Relations	 4	 15	 2	 7.38	 3.58	 1.35	
Liver_Disorders	 4	 15	 1	 18.40	 6.46	 2.59	
Liver_Disorders	 4	 15	 2	 13.24	 2.92	 1.38	
Molecular_Biology	 4	 15	 1	 8.65	 4.41	 2.16	
Molecular_Biology	 4	 15	 2	 15.65	 9.92	 2.75	
Mushrooms	 4	 15	 1	 1493.06	 1490.24	 30.10	
Mushrooms	 4	 15	 2	 1477.76	 1470.64	 26.40	
Sonar	 4	 15	 1	 27.21	 10.26	 3.74	
Sonar	 4	 15	 2	 24.70	 8.35	 3.30	
Thyroid_Disease	 4	 15	 1	 104.99	 99.27	 12.65	
Thyroid_Disease	 4	 15	 2	 190.89	 175.42	 18.42	
Wdbc	 4	 15	 1	 133.01	 115.29	 11.38	
Wdbc	 4	 15	 2	 109.09	 91.62	 11.55	
Wisconsin_Breast_Cancer	 4	 15	 1	 178.93	 153.99	 11.10	
Wisconsin_Breast_Cancer	 4	 15	 2	 163.78	 147.01	 10.32	
Wpbc	 4	 15	 1	 11.31	 1.46	 0.99	
Wpbc	 4	 15	 2	 15.68	 1.41	 1.25	
faults	 4	 15	 1	 175.91	 161.88	 19.18	
faults	 4	 15	 2	 128.72	 104.62	 10.17	
statlog	 4	 15	 1	 327.52	 317.88	 16.83	
statlog	 4	 15	 2	 335.28	 322.17	 13.50	
waveform	 4	 15	 1	 566.30	 545.52	 25.47	
waveform	 4	 15	 2	 515.03	 488.78	 28.31	
wine	 4	 15	 1	 182.18	 164.25	 12.06	
wine	 4	 15	 2	 205.24	 192.25	 15.96	
Anastomosis	 4	 25	 1	 6.91	 0.84	 0.94	
Anastomosis	 4	 25	 2	 15.62	 0.92	 0.94	
Australian	 4	 25	 1	 105.49	 100.70	 8.02	
Australian	 4	 25	 2	 104.65	 101.55	 8.52	
Congressional_Voting	 4	 25	 1	 105.71	 106.11	 5.99	
Congressional_Voting	 4	 25	 2	 109.34	 108.30	 6.73	
Echo_cardiogram	 4	 25	 1	 18.25	 15.91	 3.47	
Echo_cardiogram	 4	 25	 2	 19.78	 16.31	 4.41	
German	 4	 25	 1	 41.40	 26.61	 6.72	
German	 4	 25	 2	 40.65	 26.88	 5.22	
