taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo	RuleLength	ExtraOptions
Liver_Disorders	 4	 10	 2	 10.90	 3.37	 1.85	 1.54	 stabilize=yes, prune=yes, postStabilize=no	
Liver_Disorders	 4	 10	 1	 16.22	 6.03	 2.79	 2.09	 stabilize=yes, prune=yes, postStabilize=yes	
Liver_Disorders	 4	 10	 2	 11.48	 3.55	 1.91	 1.42	 stabilize=yes, prune=yes, postStabilize=yes	
Molecular_Biology	 4	 10	 1	 8.77	 4.56	 2.13	 1.01	 stabilize=no, prune=no, postStabilize=no	
Molecular_Biology	 4	 10	 2	 15.61	 10.08	 2.97	 1.77	 stabilize=no, prune=no, postStabilize=no	
Molecular_Biology	 4	 10	 1	 8.65	 4.45	 2.34	 1.01	 stabilize=yes, prune=no, postStabilize=no	
Molecular_Biology	 4	 10	 2	 15.23	 10.59	 2.83	 1.79	 stabilize=yes, prune=no, postStabilize=no	
Molecular_Biology	 4	 10	 1	 8.38	 4.63	 2.24	 1.03	 stabilize=yes, prune=yes, postStabilize=no	
Molecular_Biology	 4	 10	 2	 14.99	 9.80	 2.64	 1.37	 stabilize=yes, prune=yes, postStabilize=no	
Molecular_Biology	 4	 10	 1	 8.51	 4.46	 2.22	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Molecular_Biology	 4	 10	 2	 14.99	 9.69	 2.39	 1.39	 stabilize=yes, prune=yes, postStabilize=yes	
Mushrooms	 4	 10	 1	 1489.59	 1493.68	 28.46	 1.00	 stabilize=no, prune=no, postStabilize=no	
Mushrooms	 4	 10	 2	 1472.95	 1474.29	 29.18	 3.15	 stabilize=no, prune=no, postStabilize=no	
Mushrooms	 4	 10	 1	 1491.98	 1491.28	 28.64	 1.00	 stabilize=yes, prune=no, postStabilize=no	
Mushrooms	 4	 10	 2	 1477.89	 1469.02	 28.79	 3.17	 stabilize=yes, prune=no, postStabilize=no	
Mushrooms	 4	 10	 1	 1490.16	 1493.11	 27.26	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Mushrooms	 4	 10	 2	 1477.97	 1469.77	 26.33	 3.05	 stabilize=yes, prune=yes, postStabilize=no	
Mushrooms	 4	 10	 1	 1490.50	 1492.66	 28.12	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Mushrooms	 4	 10	 2	 1475.99	 1471.94	 29.78	 3.05	 stabilize=yes, prune=yes, postStabilize=yes	
Sonar	 4	 10	 1	 26.65	 10.48	 3.95	 3.62	 stabilize=no, prune=no, postStabilize=no	
Sonar	 4	 10	 2	 27.30	 8.49	 3.44	 3.89	 stabilize=no, prune=no, postStabilize=no	
Sonar	 4	 10	 1	 29.96	 10.99	 4.31	 3.79	 stabilize=yes, prune=no, postStabilize=no	
Sonar	 4	 10	 2	 31.76	 8.88	 3.65	 3.97	 stabilize=yes, prune=no, postStabilize=no	
Sonar	 4	 10	 1	 22.62	 8.94	 4.37	 1.70	 stabilize=yes, prune=yes, postStabilize=no	
Sonar	 4	 10	 2	 24.05	 8.44	 3.45	 1.93	 stabilize=yes, prune=yes, postStabilize=no	
Sonar	 4	 10	 1	 24.90	 8.80	 4.47	 1.65	 stabilize=yes, prune=yes, postStabilize=yes	
Sonar	 4	 10	 2	 25.83	 8.34	 3.84	 1.79	 stabilize=yes, prune=yes, postStabilize=yes	
Thyroid_Disease	 4	 10	 1	 132.45	 129.27	 9.95	 1.05	 stabilize=no, prune=no, postStabilize=no	
Thyroid_Disease	 4	 10	 2	 239.63	 227.58	 16.89	 2.68	 stabilize=no, prune=no, postStabilize=no	
Thyroid_Disease	 4	 10	 1	 134.78	 130.07	 9.63	 1.03	 stabilize=yes, prune=no, postStabilize=no	
Thyroid_Disease	 4	 10	 2	 246.68	 233.19	 16.34	 2.73	 stabilize=yes, prune=no, postStabilize=no	
Thyroid_Disease	 4	 10	 1	 132.74	 129.28	 8.69	 1.01	 stabilize=yes, prune=yes, postStabilize=no	
Thyroid_Disease	 4	 10	 2	 242.20	 230.65	 19.49	 1.92	 stabilize=yes, prune=yes, postStabilize=no	
Thyroid_Disease	 4	 10	 1	 133.40	 128.26	 9.16	 1.01	 stabilize=yes, prune=yes, postStabilize=yes	
Thyroid_Disease	 4	 10	 2	 243.30	 228.68	 19.58	 2.00	 stabilize=yes, prune=yes, postStabilize=yes	
Wdbc	 4	 10	 1	 135.01	 116.87	 10.69	 3.10	 stabilize=no, prune=no, postStabilize=no	
Wdbc	 4	 10	 2	 135.29	 106.62	 9.19	 3.70	 stabilize=no, prune=no, postStabilize=no	
Wdbc	 4	 10	 1	 140.25	 116.00	 9.62	 3.34	 stabilize=yes, prune=no, postStabilize=no	
Wdbc	 4	 10	 2	 139.14	 106.52	 9.54	 3.82	 stabilize=yes, prune=no, postStabilize=no	
Wdbc	 4	 10	 1	 133.15	 116.16	 11.57	 1.52	 stabilize=yes, prune=yes, postStabilize=no	
Wdbc	 4	 10	 2	 130.29	 105.78	 9.60	 1.64	 stabilize=yes, prune=yes, postStabilize=no	
Wdbc	 4	 10	 1	 136.88	 115.92	 11.17	 1.46	 stabilize=yes, prune=yes, postStabilize=yes	
Wdbc	 4	 10	 2	 130.67	 104.71	 9.69	 1.71	 stabilize=yes, prune=yes, postStabilize=yes	
Wisconsin_Breast_Cancer	 4	 10	 1	 178.73	 153.27	 10.91	 3.95	 stabilize=no, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 10	 2	 163.87	 147.04	 10.74	 3.39	 stabilize=no, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 10	 1	 178.12	 152.51	 10.64	 3.91	 stabilize=yes, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 10	 2	 164.02	 146.66	 10.63	 3.34	 stabilize=yes, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 10	 1	 171.20	 148.85	 11.50	 2.37	 stabilize=yes, prune=yes, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 10	 2	 158.90	 144.78	 11.09	 1.98	 stabilize=yes, prune=yes, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 10	 1	 172.90	 149.05	 11.20	 2.41	 stabilize=yes, prune=yes, postStabilize=yes	
Wisconsin_Breast_Cancer	 4	 10	 2	 160.09	 143.62	 12.12	 1.93	 stabilize=yes, prune=yes, postStabilize=yes	
Wpbc	 4	 10	 1	 12.15	 1.51	 1.01	 3.68	 stabilize=no, prune=no, postStabilize=no	
Wpbc	 4	 10	 2	 16.37	 1.37	 1.14	 3.89	 stabilize=no, prune=no, postStabilize=no	
Wpbc	 4	 10	 1	 14.20	 1.41	 1.02	 3.80	 stabilize=yes, prune=no, postStabilize=no	
Wpbc	 4	 10	 2	 18.95	 1.43	 1.13	 3.86	 stabilize=yes, prune=no, postStabilize=no	
Wpbc	 4	 10	 1	 8.31	 1.56	 1.19	 1.27	 stabilize=yes, prune=yes, postStabilize=no	
Wpbc	 4	 10	 2	 12.17	 1.41	 1.17	 1.73	 stabilize=yes, prune=yes, postStabilize=no	
Wpbc	 4	 10	 1	 8.89	 1.45	 1.22	 1.34	 stabilize=yes, prune=yes, postStabilize=yes	
Wpbc	 4	 10	 2	 13.87	 1.41	 1.19	 1.63	 stabilize=yes, prune=yes, postStabilize=yes	
faults	 4	 10	 1	 173.33	 155.41	 17.58	 3.93	 stabilize=no, prune=no, postStabilize=no	
faults	 4	 10	 2	 133.63	 112.19	 13.49	 3.25	 stabilize=no, prune=no, postStabilize=no	
faults	 4	 10	 1	 185.12	 160.14	 18.14	 3.97	 stabilize=yes, prune=no, postStabilize=no	
faults	 4	 10	 2	 146.62	 118.93	 13.84	 3.59	 stabilize=yes, prune=no, postStabilize=no	
faults	 4	 10	 1	 184.11	 158.94	 20.43	 3.28	 stabilize=yes, prune=yes, postStabilize=no	
faults	 4	 10	 2	 148.81	 124.62	 17.29	 1.56	 stabilize=yes, prune=yes, postStabilize=no	
faults	 4	 10	 1	 183.03	 156.63	 20.19	 3.04	 stabilize=yes, prune=yes, postStabilize=yes	
faults	 4	 10	 2	 151.69	 129.07	 16.20	 1.53	 stabilize=yes, prune=yes, postStabilize=yes	
statlog	 4	 10	 1	 341.11	 333.26	 20.70	 2.01	 stabilize=no, prune=no, postStabilize=no	
statlog	 4	 10	 2	 354.65	 342.03	 22.09	 2.82	 stabilize=no, prune=no, postStabilize=no	
statlog	 4	 10	 1	 351.59	 337.14	 19.86	 2.28	 stabilize=yes, prune=no, postStabilize=no	
statlog	 4	 10	 2	 369.77	 345.11	 22.95	 3.49	 stabilize=yes, prune=no, postStabilize=no	
statlog	 4	 10	 1	 346.54	 337.11	 19.70	 1.24	 stabilize=yes, prune=yes, postStabilize=no	
statlog	 4	 10	 2	 367.92	 351.90	 22.47	 1.53	 stabilize=yes, prune=yes, postStabilize=no	
statlog	 4	 10	 1	 349.71	 340.39	 18.45	 1.21	 stabilize=yes, prune=yes, postStabilize=yes	
statlog	 4	 10	 2	 371.24	 351.59	 21.53	 1.64	 stabilize=yes, prune=yes, postStabilize=yes	
waveform	 4	 10	 1	 589.18	 550.10	 26.40	 4.00	 stabilize=no, prune=no, postStabilize=no	
waveform	 4	 10	 2	 607.12	 581.41	 22.33	 3.97	 stabilize=no, prune=no, postStabilize=no	
waveform	 4	 10	 1	 600.21	 547.07	 27.13	 4.00	 stabilize=yes, prune=no, postStabilize=no	
waveform	 4	 10	 2	 622.87	 582.55	 23.26	 3.99	 stabilize=yes, prune=no, postStabilize=no	
waveform	 4	 10	 1	 591.47	 542.36	 28.50	 3.66	 stabilize=yes, prune=yes, postStabilize=no	
waveform	 4	 10	 2	 618.70	 579.57	 23.84	 3.64	 stabilize=yes, prune=yes, postStabilize=no	
waveform	 4	 10	 1	 596.70	 541.86	 25.64	 3.74	 stabilize=yes, prune=yes, postStabilize=yes	
waveform	 4	 10	 2	 618.33	 575.08	 21.29	 3.64	 stabilize=yes, prune=yes, postStabilize=yes	
wine	 4	 10	 1	 185.10	 173.22	 13.42	 2.89	 stabilize=no, prune=no, postStabilize=no	
wine	 4	 10	 2	 210.94	 204.06	 16.16	 2.11	 stabilize=no, prune=no, postStabilize=no	
wine	 4	 10	 1	 193.02	 174.61	 14.27	 3.51	 stabilize=yes, prune=no, postStabilize=no	
wine	 4	 10	 2	 218.05	 202.43	 17.30	 3.67	 stabilize=yes, prune=no, postStabilize=no	
wine	 4	 10	 1	 190.83	 174.38	 13.95	 1.94	 stabilize=yes, prune=yes, postStabilize=no	
wine	 4	 10	 2	 215.41	 196.75	 18.83	 2.18	 stabilize=yes, prune=yes, postStabilize=no	
wine	 4	 10	 1	 191.29	 173.83	 14.94	 1.79	 stabilize=yes, prune=yes, postStabilize=yes	
wine	 4	 10	 2	 214.98	 200.41	 17.97	 2.20	 stabilize=yes, prune=yes, postStabilize=yes	
Anastomosis	 4	 15	 1	 7.85	 0.85	 1.07	 2.95	 stabilize=no, prune=no, postStabilize=no	
Anastomosis	 4	 15	 2	 16.51	 0.90	 0.85	 3.73	 stabilize=no, prune=no, postStabilize=no	
Anastomosis	 4	 15	 1	 8.92	 0.68	 0.89	 3.34	 stabilize=yes, prune=no, postStabilize=no	
Anastomosis	 4	 15	 2	 17.21	 0.75	 0.87	 3.80	 stabilize=yes, prune=no, postStabilize=no	
Anastomosis	 4	 15	 1	 5.61	 0.68	 0.81	 1.13	 stabilize=yes, prune=yes, postStabilize=no	
Anastomosis	 4	 15	 2	 11.08	 1.21	 1.09	 1.35	 stabilize=yes, prune=yes, postStabilize=no	
Anastomosis	 4	 15	 1	 5.65	 0.68	 0.88	 1.13	 stabilize=yes, prune=yes, postStabilize=yes	
Anastomosis	 4	 15	 2	 12.70	 1.08	 1.03	 1.23	 stabilize=yes, prune=yes, postStabilize=yes	
Australian	 4	 15	 1	 103.83	 100.84	 9.00	 1.41	 stabilize=no, prune=no, postStabilize=no	
Australian	 4	 15	 2	 104.42	 101.31	 9.63	 1.40	 stabilize=no, prune=no, postStabilize=no	
Australian	 4	 15	 1	 106.04	 100.75	 9.37	 2.01	 stabilize=yes, prune=no, postStabilize=no	
Australian	 4	 15	 2	 106.92	 99.17	 9.31	 2.49	 stabilize=yes, prune=no, postStabilize=no	
Australian	 4	 15	 1	 105.37	 101.79	 8.63	 1.03	 stabilize=yes, prune=yes, postStabilize=no	
Australian	 4	 15	 2	 106.33	 101.59	 8.79	 1.19	 stabilize=yes, prune=yes, postStabilize=no	
Australian	 4	 15	 1	 106.26	 101.27	 7.89	 1.05	 stabilize=yes, prune=yes, postStabilize=yes	
Australian	 4	 15	 2	 106.95	 100.24	 8.25	 1.14	 stabilize=yes, prune=yes, postStabilize=yes	
Congressional_Voting	 4	 15	 1	 105.41	 106.39	 5.94	 1.00	 stabilize=no, prune=no, postStabilize=no	
Congressional_Voting	 4	 15	 2	 108.57	 109.10	 6.21	 1.02	 stabilize=no, prune=no, postStabilize=no	
Congressional_Voting	 4	 15	 1	 105.96	 105.77	 5.46	 1.00	 stabilize=yes, prune=no, postStabilize=no	
Congressional_Voting	 4	 15	 2	 108.57	 108.93	 7.01	 1.03	 stabilize=yes, prune=no, postStabilize=no	
Congressional_Voting	 4	 15	 1	 105.67	 106.07	 5.34	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Congressional_Voting	 4	 15	 2	 109.22	 108.56	 6.09	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Congressional_Voting	 4	 15	 1	 106.11	 105.61	 5.74	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Congressional_Voting	 4	 15	 2	 109.39	 108.08	 7.67	 1.01	 stabilize=yes, prune=yes, postStabilize=yes	
Echo_cardiogram	 4	 15	 1	 20.65	 18.64	 1.86	 1.02	 stabilize=no, prune=no, postStabilize=no	
Echo_cardiogram	 4	 15	 2	 19.99	 15.46	 3.65	 1.34	 stabilize=no, prune=no, postStabilize=no	
Echo_cardiogram	 4	 15	 1	 20.88	 18.54	 1.64	 1.03	 stabilize=yes, prune=no, postStabilize=no	
Echo_cardiogram	 4	 15	 2	 19.95	 15.30	 3.94	 1.41	 stabilize=yes, prune=no, postStabilize=no	
Echo_cardiogram	 4	 15	 1	 20.75	 18.67	 1.49	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Echo_cardiogram	 4	 15	 2	 19.44	 15.69	 3.29	 1.11	 stabilize=yes, prune=yes, postStabilize=no	
Echo_cardiogram	 4	 15	 1	 20.60	 18.71	 1.84	 1.01	 stabilize=yes, prune=yes, postStabilize=yes	
Echo_cardiogram	 4	 15	 2	 19.11	 15.39	 3.51	 1.11	 stabilize=yes, prune=yes, postStabilize=yes	
German	 4	 15	 1	 42.77	 27.94	 6.33	 3.73	 stabilize=no, prune=no, postStabilize=no	
German	 4	 15	 2	 40.43	 26.89	 5.09	 3.61	 stabilize=no, prune=no, postStabilize=no	
German	 4	 15	 1	 43.00	 29.10	 6.47	 3.86	 stabilize=yes, prune=no, postStabilize=no	
German	 4	 15	 2	 40.78	 27.13	 4.85	 3.63	 stabilize=yes, prune=no, postStabilize=no	
German	 4	 15	 1	 39.51	 29.60	 5.88	 1.93	 stabilize=yes, prune=yes, postStabilize=no	
German	 4	 15	 2	 37.09	 28.16	 6.22	 1.72	 stabilize=yes, prune=yes, postStabilize=no	
German	 4	 15	 1	 40.00	 28.64	 5.61	 1.85	 stabilize=yes, prune=yes, postStabilize=yes	
German	 4	 15	 2	 37.41	 28.52	 5.83	 1.63	 stabilize=yes, prune=yes, postStabilize=yes	
Heart_Disease	 4	 15	 1	 32.28	 25.19	 5.56	 2.38	 stabilize=no, prune=no, postStabilize=no	
Heart_Disease	 4	 15	 2	 35.02	 21.50	 4.21	 2.99	 stabilize=no, prune=no, postStabilize=no	
Heart_Disease	 4	 15	 1	 32.35	 25.06	 6.00	 2.93	 stabilize=yes, prune=no, postStabilize=no	
Heart_Disease	 4	 15	 2	 34.56	 21.09	 4.69	 3.09	 stabilize=yes, prune=no, postStabilize=no	
Heart_Disease	 4	 15	 1	 30.75	 24.14	 5.51	 1.37	 stabilize=yes, prune=yes, postStabilize=no	
Heart_Disease	 4	 15	 2	 32.33	 22.06	 4.70	 1.40	 stabilize=yes, prune=yes, postStabilize=no	
Heart_Disease	 4	 15	 1	 29.82	 25.04	 6.01	 1.47	 stabilize=yes, prune=yes, postStabilize=yes	
Heart_Disease	 4	 15	 2	 31.74	 22.77	 4.79	 1.28	 stabilize=yes, prune=yes, postStabilize=yes	
Hepatitis	 4	 15	 1	 16.27	 4.50	 2.10	 3.44	 stabilize=no, prune=no, postStabilize=no	
Hepatitis	 4	 15	 2	 15.17	 6.51	 1.97	 2.58	 stabilize=no, prune=no, postStabilize=no	
Hepatitis	 4	 15	 1	 17.07	 4.25	 1.91	 3.55	 stabilize=yes, prune=no, postStabilize=no	
Hepatitis	 4	 15	 2	 16.36	 6.45	 2.32	 2.76	 stabilize=yes, prune=no, postStabilize=no	
Hepatitis	 4	 15	 1	 12.99	 4.64	 2.31	 1.46	 stabilize=yes, prune=yes, postStabilize=no	
Hepatitis	 4	 15	 2	 12.76	 6.51	 2.57	 1.49	 stabilize=yes, prune=yes, postStabilize=no	
Hepatitis	 4	 15	 1	 13.38	 4.71	 2.27	 1.55	 stabilize=yes, prune=yes, postStabilize=yes	
Hepatitis	 4	 15	 2	 13.35	 6.10	 2.58	 1.46	 stabilize=yes, prune=yes, postStabilize=yes	
Ionosphere	 4	 15	 1	 79.97	 59.57	 8.88	 3.96	 stabilize=no, prune=no, postStabilize=no	
Ionosphere	 4	 15	 2	 44.19	 34.34	 6.47	 1.09	 stabilize=no, prune=no, postStabilize=no	
Ionosphere	 4	 15	 1	 82.22	 61.66	 8.31	 3.99	 stabilize=yes, prune=no, postStabilize=no	
Ionosphere	 4	 15	 2	 44.12	 34.72	 6.45	 1.08	 stabilize=yes, prune=no, postStabilize=no	
Ionosphere	 4	 15	 1	 75.92	 56.81	 7.92	 2.11	 stabilize=yes, prune=yes, postStabilize=no	
Ionosphere	 4	 15	 2	 40.95	 33.67	 8.49	 1.08	 stabilize=yes, prune=yes, postStabilize=no	
Ionosphere	 4	 15	 1	 77.99	 57.00	 7.89	 2.29	 stabilize=yes, prune=yes, postStabilize=yes	
Ionosphere	 4	 15	 2	 41.77	 32.17	 8.51	 1.08	 stabilize=yes, prune=yes, postStabilize=yes	
Labor_Relations	 4	 15	 1	 10.29	 5.41	 2.29	 2.11	 stabilize=no, prune=no, postStabilize=no	
Labor_Relations	 4	 15	 2	 7.53	 3.56	 1.33	 1.29	 stabilize=no, prune=no, postStabilize=no	
Labor_Relations	 4	 15	 1	 10.17	 5.51	 2.27	 2.07	 stabilize=yes, prune=no, postStabilize=no	
Labor_Relations	 4	 15	 2	 7.50	 3.56	 1.38	 1.33	 stabilize=yes, prune=no, postStabilize=no	
Labor_Relations	 4	 15	 1	 9.13	 4.23	 2.17	 1.41	 stabilize=yes, prune=yes, postStabilize=no	
Labor_Relations	 4	 15	 2	 7.13	 3.56	 1.62	 1.13	 stabilize=yes, prune=yes, postStabilize=no	
Labor_Relations	 4	 15	 1	 9.05	 4.74	 2.23	 1.39	 stabilize=yes, prune=yes, postStabilize=yes	
Labor_Relations	 4	 15	 2	 7.12	 3.80	 1.53	 1.13	 stabilize=yes, prune=yes, postStabilize=yes	
Liver_Disorders	 4	 15	 1	 18.82	 6.84	 2.77	 3.79	 stabilize=no, prune=no, postStabilize=no	
Liver_Disorders	 4	 15	 2	 13.86	 3.49	 1.61	 3.18	 stabilize=no, prune=no, postStabilize=no	
Liver_Disorders	 4	 15	 1	 20.76	 6.75	 2.67	 3.80	 stabilize=yes, prune=no, postStabilize=no	
Liver_Disorders	 4	 15	 2	 15.67	 3.51	 1.64	 3.50	 stabilize=yes, prune=no, postStabilize=no	
Liver_Disorders	 4	 15	 1	 15.32	 6.47	 2.99	 2.10	 stabilize=yes, prune=yes, postStabilize=no	
Liver_Disorders	 4	 15	 2	 10.54	 3.57	 1.75	 1.55	 stabilize=yes, prune=yes, postStabilize=no	
Liver_Disorders	 4	 15	 1	 16.51	 5.70	 2.90	 2.03	 stabilize=yes, prune=yes, postStabilize=yes	
Liver_Disorders	 4	 15	 2	 10.95	 3.44	 1.85	 1.51	 stabilize=yes, prune=yes, postStabilize=yes	
Molecular_Biology	 4	 15	 1	 8.48	 4.75	 2.19	 1.01	 stabilize=no, prune=no, postStabilize=no	
Molecular_Biology	 4	 15	 2	 15.49	 10.40	 2.89	 1.75	 stabilize=no, prune=no, postStabilize=no	
Molecular_Biology	 4	 15	 1	 8.65	 4.71	 2.13	 1.04	 stabilize=yes, prune=no, postStabilize=no	
Molecular_Biology	 4	 15	 2	 15.45	 10.06	 3.01	 1.69	 stabilize=yes, prune=no, postStabilize=no	
Molecular_Biology	 4	 15	 1	 8.47	 4.65	 2.19	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Molecular_Biology	 4	 15	 2	 15.11	 9.65	 2.40	 1.43	 stabilize=yes, prune=yes, postStabilize=no	
Molecular_Biology	 4	 15	 1	 8.60	 4.18	 2.10	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Molecular_Biology	 4	 15	 2	 15.08	 9.59	 2.56	 1.43	 stabilize=yes, prune=yes, postStabilize=yes	
Mushrooms	 4	 15	 1	 1491.64	 1491.34	 24.12	 1.00	 stabilize=no, prune=no, postStabilize=no	
Mushrooms	 4	 15	 2	 1471.05	 1476.61	 27.69	 3.13	 stabilize=no, prune=no, postStabilize=no	
Mushrooms	 4	 15	 1	 1492.86	 1490.38	 27.05	 1.00	 stabilize=yes, prune=no, postStabilize=no	
Mushrooms	 4	 15	 2	 1478.29	 1469.66	 29.03	 3.12	 stabilize=yes, prune=no, postStabilize=no	
Mushrooms	 4	 15	 1	 1490.29	 1492.94	 27.73	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Mushrooms	 4	 15	 2	 1481.43	 1466.73	 28.30	 2.99	 stabilize=yes, prune=yes, postStabilize=no	
Mushrooms	 4	 15	 1	 1490.46	 1492.73	 26.80	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Mushrooms	 4	 15	 2	 1474.81	 1473.96	 28.93	 2.98	 stabilize=yes, prune=yes, postStabilize=yes	
Sonar	 4	 15	 1	 27.33	 10.45	 3.84	 3.69	 stabilize=no, prune=no, postStabilize=no	
Sonar	 4	 15	 2	 27.50	 8.32	 2.91	 3.95	 stabilize=no, prune=no, postStabilize=no	
Sonar	 4	 15	 1	 30.66	 10.72	 4.31	 3.80	 stabilize=yes, prune=no, postStabilize=no	
Sonar	 4	 15	 2	 32.31	 8.83	 3.15	 3.93	 stabilize=yes, prune=no, postStabilize=no	
Sonar	 4	 15	 1	 23.91	 8.67	 3.85	 1.73	 stabilize=yes, prune=yes, postStabilize=no	
Sonar	 4	 15	 2	 24.61	 8.32	 3.57	 1.79	 stabilize=yes, prune=yes, postStabilize=no	
Sonar	 4	 15	 1	 24.80	 8.15	 4.20	 1.81	 stabilize=yes, prune=yes, postStabilize=yes	
Sonar	 4	 15	 2	 25.68	 9.01	 3.87	 1.82	 stabilize=yes, prune=yes, postStabilize=yes	
Thyroid_Disease	 4	 15	 1	 133.17	 129.75	 9.23	 1.05	 stabilize=no, prune=no, postStabilize=no	
Thyroid_Disease	 4	 15	 2	 242.26	 227.40	 16.74	 2.61	 stabilize=no, prune=no, postStabilize=no	
Thyroid_Disease	 4	 15	 1	 134.35	 130.44	 9.51	 1.07	 stabilize=yes, prune=no, postStabilize=no	
Thyroid_Disease	 4	 15	 2	 247.54	 232.03	 17.23	 2.74	 stabilize=yes, prune=no, postStabilize=no	
Thyroid_Disease	 4	 15	 1	 133.65	 128.30	 9.22	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Thyroid_Disease	 4	 15	 2	 244.61	 230.30	 17.88	 1.99	 stabilize=yes, prune=yes, postStabilize=no	
Thyroid_Disease	 4	 15	 1	 132.84	 128.52	 11.16	 1.01	 stabilize=yes, prune=yes, postStabilize=yes	
Thyroid_Disease	 4	 15	 2	 244.04	 228.06	 21.12	 1.93	 stabilize=yes, prune=yes, postStabilize=yes	
Wdbc	 4	 15	 1	 134.04	 117.36	 9.41	 3.20	 stabilize=no, prune=no, postStabilize=no	
Wdbc	 4	 15	 2	 135.84	 107.72	 10.17	 3.73	 stabilize=no, prune=no, postStabilize=no	
Wdbc	 4	 15	 1	 140.17	 117.55	 9.49	 3.38	 stabilize=yes, prune=no, postStabilize=no	
Wdbc	 4	 15	 2	 138.42	 109.16	 9.25	 3.88	 stabilize=yes, prune=no, postStabilize=no	
Wdbc	 4	 15	 1	 133.98	 115.83	 11.23	 1.46	 stabilize=yes, prune=yes, postStabilize=no	
Wdbc	 4	 15	 2	 131.14	 106.66	 8.54	 1.60	 stabilize=yes, prune=yes, postStabilize=no	
Wdbc	 4	 15	 1	 138.42	 115.14	 11.25	 1.48	 stabilize=yes, prune=yes, postStabilize=yes	
Wdbc	 4	 15	 2	 133.38	 105.60	 9.88	 1.73	 stabilize=yes, prune=yes, postStabilize=yes	
Wisconsin_Breast_Cancer	 4	 15	 1	 178.96	 153.73	 11.81	 3.89	 stabilize=no, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 15	 2	 164.17	 145.98	 9.95	 3.34	 stabilize=no, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 15	 1	 180.98	 152.41	 11.54	 3.91	 stabilize=yes, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 15	 2	 163.96	 147.83	 10.22	 3.37	 stabilize=yes, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 15	 1	 172.00	 149.68	 10.82	 2.41	 stabilize=yes, prune=yes, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 15	 2	 159.57	 145.00	 12.06	 1.80	 stabilize=yes, prune=yes, postStabilize=no	
Wisconsin_Breast_Cancer	 4	 15	 1	 172.23	 150.28	 12.01	 2.33	 stabilize=yes, prune=yes, postStabilize=yes	
Wisconsin_Breast_Cancer	 4	 15	 2	 159.99	 144.27	 12.51	 1.91	 stabilize=yes, prune=yes, postStabilize=yes	
Wpbc	 4	 15	 1	 12.49	 1.50	 1.09	 3.76	 stabilize=no, prune=no, postStabilize=no	
Wpbc	 4	 15	 2	 16.27	 1.28	 1.16	 3.89	 stabilize=no, prune=no, postStabilize=no	
Wpbc	 4	 15	 1	 14.56	 1.58	 1.10	 3.81	 stabilize=yes, prune=no, postStabilize=no	
Wpbc	 4	 15	 2	 19.36	 1.13	 1.07	 3.91	 stabilize=yes, prune=no, postStabilize=no	
Wpbc	 4	 15	 1	 8.22	 1.34	 1.20	 1.38	 stabilize=yes, prune=yes, postStabilize=no	
Wpbc	 4	 15	 2	 11.13	 1.42	 1.18	 1.55	 stabilize=yes, prune=yes, postStabilize=no	
Wpbc	 4	 15	 1	 9.54	 1.55	 1.12	 1.32	 stabilize=yes, prune=yes, postStabilize=yes	
Wpbc	 4	 15	 2	 14.25	 1.30	 1.06	 1.72	 stabilize=yes, prune=yes, postStabilize=yes	
faults	 4	 15	 1	 177.55	 157.57	 16.42	 3.95	 stabilize=no, prune=no, postStabilize=no	
faults	 4	 15	 2	 136.00	 111.76	 11.00	 3.50	 stabilize=no, prune=no, postStabilize=no	
faults	 4	 15	 1	 189.63	 162.07	 19.85	 3.97	 stabilize=yes, prune=no, postStabilize=no	
faults	 4	 15	 2	 147.56	 118.85	 13.96	 3.60	 stabilize=yes, prune=no, postStabilize=no	
faults	 4	 15	 1	 185.89	 162.21	 18.95	 3.31	 stabilize=yes, prune=yes, postStabilize=no	
faults	 4	 15	 2	 146.42	 123.45	 18.21	 1.70	 stabilize=yes, prune=yes, postStabilize=no	
