taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo	RuleLength	ExtraOptions
Hepatitis	 2	 1	 2	 12.40	 6.57	 2.42	 1.56	 stabilize=yes, prune=yes, postStabilize=no	
Hepatitis	 2	 1	 1	 12.05	 4.30	 1.86	 1.49	 stabilize=yes, prune=yes, postStabilize=yes	
Hepatitis	 2	 1	 2	 13.05	 6.27	 2.23	 1.57	 stabilize=yes, prune=yes, postStabilize=yes	
Ionosphere	 2	 1	 1	 59.82	 45.98	 11.90	 1.97	 stabilize=no, prune=no, postStabilize=no	
Ionosphere	 2	 1	 2	 43.80	 34.99	 5.70	 1.00	 stabilize=no, prune=no, postStabilize=no	
Ionosphere	 2	 1	 1	 62.34	 45.40	 12.46	 1.96	 stabilize=yes, prune=no, postStabilize=no	
Ionosphere	 2	 1	 2	 43.24	 34.72	 6.50	 1.03	 stabilize=yes, prune=no, postStabilize=no	
Ionosphere	 2	 1	 1	 57.06	 42.54	 12.77	 1.82	 stabilize=yes, prune=yes, postStabilize=no	
Ionosphere	 2	 1	 2	 43.04	 34.91	 6.27	 1.03	 stabilize=yes, prune=yes, postStabilize=no	
Ionosphere	 2	 1	 1	 58.91	 43.33	 13.00	 1.86	 stabilize=yes, prune=yes, postStabilize=yes	
Ionosphere	 2	 1	 2	 42.94	 33.99	 6.26	 1.02	 stabilize=yes, prune=yes, postStabilize=yes	
Labor_Relations	 2	 1	 1	 8.70	 3.72	 1.70	 1.52	 stabilize=no, prune=no, postStabilize=no	
Labor_Relations	 2	 1	 2	 7.30	 3.75	 1.35	 1.22	 stabilize=no, prune=no, postStabilize=no	
Labor_Relations	 2	 1	 1	 9.33	 4.17	 1.91	 1.66	 stabilize=yes, prune=no, postStabilize=no	
Labor_Relations	 2	 1	 2	 7.19	 3.61	 1.42	 1.29	 stabilize=yes, prune=no, postStabilize=no	
Labor_Relations	 2	 1	 1	 7.52	 3.29	 1.66	 1.18	 stabilize=yes, prune=yes, postStabilize=no	
Labor_Relations	 2	 1	 2	 6.94	 3.61	 1.62	 1.12	 stabilize=yes, prune=yes, postStabilize=no	
Labor_Relations	 2	 1	 1	 7.62	 3.65	 1.65	 1.20	 stabilize=yes, prune=yes, postStabilize=yes	
Labor_Relations	 2	 1	 2	 6.78	 3.83	 1.82	 1.09	 stabilize=yes, prune=yes, postStabilize=yes	
Liver_Disorders	 2	 1	 1	 13.61	 5.44	 3.49	 2.00	 stabilize=no, prune=no, postStabilize=no	
Liver_Disorders	 2	 1	 2	 11.12	 4.52	 2.36	 1.75	 stabilize=no, prune=no, postStabilize=no	
Liver_Disorders	 2	 1	 1	 15.20	 5.68	 3.23	 1.99	 stabilize=yes, prune=no, postStabilize=no	
Liver_Disorders	 2	 1	 2	 12.44	 4.52	 2.20	 1.91	 stabilize=yes, prune=no, postStabilize=no	
Liver_Disorders	 2	 1	 1	 11.83	 4.95	 3.23	 1.72	 stabilize=yes, prune=yes, postStabilize=no	
Liver_Disorders	 2	 1	 2	 10.31	 4.36	 2.52	 1.45	 stabilize=yes, prune=yes, postStabilize=no	
Liver_Disorders	 2	 1	 1	 12.56	 5.58	 3.58	 1.75	 stabilize=yes, prune=yes, postStabilize=yes	
Liver_Disorders	 2	 1	 2	 10.31	 4.47	 2.32	 1.47	 stabilize=yes, prune=yes, postStabilize=yes	
Molecular_Biology	 2	 1	 1	 8.57	 4.51	 2.07	 1.00	 stabilize=no, prune=no, postStabilize=no	
Molecular_Biology	 2	 1	 2	 15.69	 10.09	 3.01	 1.65	 stabilize=no, prune=no, postStabilize=no	
Molecular_Biology	 2	 1	 1	 8.75	 4.52	 2.28	 1.01	 stabilize=yes, prune=no, postStabilize=no	
Molecular_Biology	 2	 1	 2	 15.58	 10.03	 2.83	 1.66	 stabilize=yes, prune=no, postStabilize=no	
Molecular_Biology	 2	 1	 1	 8.31	 4.36	 2.08	 1.00	 stabilize=yes, prune=yes, postStabilize=no	
Molecular_Biology	 2	 1	 2	 14.65	 9.61	 2.67	 1.43	 stabilize=yes, prune=yes, postStabilize=no	
Molecular_Biology	 2	 1	 1	 8.56	 4.92	 2.00	 1.01	 stabilize=yes, prune=yes, postStabilize=yes	
Molecular_Biology	 2	 1	 2	 14.44	 9.58	 2.53	 1.31	 stabilize=yes, prune=yes, postStabilize=yes	
Mushrooms	 2	 1	 1	 1494.31	 1488.88	 24.73	 1.00	 stabilize=no, prune=no, postStabilize=no	
Mushrooms	 2	 1	 2	 1002.69	 1008.24	 17.38	 1.00	 stabilize=no, prune=no, postStabilize=no	
Mushrooms	 2	 1	 1	 1490.73	 1492.49	 27.87	 1.00	 stabilize=yes, prune=no, postStabilize=no	
Mushrooms	 2	 1	 2	 1004.48	 1006.47	 18.43	 1.00	 stabilize=yes, prune=no, postStabilize=no	
